,year,state,party,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
0,0,Alabama,DEM,659170,636730,551899,549506,690080,662165,692611,693933,813479,795696,729547,849624
1,1,Alabama,REP,504070,654192,872849,815576,804283,769044,941173,1176394,1266546,1255925,1318255,1441170
2,2,Alabama,LIB,19610,51007,16965,13394,193697,103140,32488,13088,19794,22717,75570,32488
3,3,Alaska,DEM,44058,41842,62007,72584,78294,80380,79004,111025,123594,122640,116454,153129
4,4,Alaska,REP,71555,86112,138377,119251,102000,122746,167398,190889,193841,164676,163387,189484
5,5,Alaska,LIB,7961,30491,7221,8281,78212,38494,39158,10684,8762,13179,38767,13875
6,6,Arizona,DEM,295602,246843,333854,454029,543050,653288,685341,893524,1034707,1025232,1161209,1672143
7,7,Arizona,REP,418642,529688,681416,702541,572086,622073,781652,1104294,1230111,1233654,1252401,1661686
8,8,Arizona,LIB,28475,97414,10627,15303,371839,129044,65023,14767,28657,40368,159555,52016
9,9,Arkansas,DEM,498604,398041,338646,349237,505823,475171,422768,469953,422310,394409,380494,423916
10,10,Arkansas,REP,267903,403164,534774,466578,337324,325416,472940,572898,638017,647744,684872,760613
11,11,Arkansas,LIB,1028,36377,10986,11923,107506,83675,26073,12094,26290,27315,65269,34485
12,12,California,DEM,3742284,3082943,3922519,4702233,5121325,5119835,5861203,6745485,8274473,7854285,8753788,11082293
13,13,California,REP,3882244,4522994,5467009,5054917,3630574,3828381,4567429,5509826,5011781,4839958,4483810,5982194
14,14,California,LIB,179242,977001,115513,129915,2379822,1071253,537190,166042,275646,344304,943997,378556
15,15,Colorado,DEM,460801,368009,454975,621453,629681,671152,738227,1001732,1288576,1323101,1338870,1804196
16,16,Colorado,REP,584278,652264,821817,728177,562850,691848,883748,1101255,1073589,1185243,1202484,1364471
17,17,Colorado,LIB,36361,164177,18588,22764,376649,147702,119393,26643,39196,61172,238866,87983
18,18,Connecticut,DEM,647895,541732,569597,676584,682318,735740,816015,857488,997772,905083,897572,1080680
19,19,Connecticut,REP,719261,677210,890877,750241,578313,483109,561094,693826,629428,634892,673215,715291
20,20,Connecticut,LIB,19199,187343,6426,16569,355525,173765,82416,27455,19592,18229,74133,28346
21,21,Delaware,DEM,122461,105754,101656,108647,126054,140355,180068,200152,255459,242584,235603,296268
22,22,Delaware,REP,109780,111252,152190,139639,102313,99062,137288,171660,152374,165484,185127,200603
23,23,Delaware,LIB,3401,18662,726,1605,61253,31393,10173,3378,4579,5822,20860,7139
24,24,District of Columbia,DEM,137818,130231,180408,159407,192619,158220,171923,202970,245800,267070,282830,317323
25,25,District of Columbia,REP,27873,23313,29009,27590,20698,17339,18073,21256,17367,21381,12723,18586
26,26,District of Columbia,LIB,3139,20345,1871,5880,14255,10167,11898,3360,2686,5313,17022,8447
27,27,Florida,DEM,1636000,1419475,1448816,1656701,2071698,2546870,2912253,3583544,4282074,4237756,4504975,5297045
28,28,Florida,REP,1469531,2046951,2730350,2618885,2173310,2244536,2912790,3964522,4045624,4163447,4617886,5668731
29,29,Florida,LIB,45100,220501,885,26727,1068384,511748,138067,61744,63046,72976,297178,101680
30,30,Georgia,DEM,979409,890955,706628,714792,1008966,1053849,1116230,1366149,1844123,1773827,1877963,2474507
31,31,Georgia,REP,483743,654168,1068722,1081331,995252,1080843,1419720,1914254,2048759,2078688,2089104,2461837
32,32,Georgia,LIB,0,51682,753,13549,316915,164207,47258,21472,31604,45324,147665,62222
33,33,Hawaii,DEM,147375,135879,147154,192364,179310,205012,205286,231708,325871,306658,266891,366130
34,34,Hawaii,REP,140003,130112,185050,158625,136822,113943,137845,194191,120566,121015,128847,196864
35,35,Hawaii,LIB,3923,37296,3642,3472,56710,41165,24820,3114,9627,9486,41926,11475
36,36,Idaho,DEM,126549,110192,108510,147272,137013,165443,138637,181098,236440,212787,189765,287021
37,37,Idaho,REP,204151,290699,297523,253881,202645,256595,336937,409235,403012,420911,409055,554118
38,38,Idaho,LIB,10232,36540,5111,7815,142456,69673,26041,8043,15670,18576,91435,26966
39,39,Illinois,DEM,2271295,1981413,2086499,2215940,2453350,2341744,2589026,2891550,3419348,3019512,3090729,4241849
40,40,Illinois,REP,2364269,2358049,2707103,2310939,1734096,1587021,2019421,2345946,2031179,2135216,2146015,2814790
41,41,Illinois,LIB,85718,410259,25486,32241,862711,382626,133661,36826,71844,87286,299680,137521
42,42,Indiana,DEM,1014714,844197,841481,860643,848420,887424,901980,969011,1374039,1152887,1033126,1242495
43,43,Indiana,REP,1183958,1255656,1377230,1297763,989375,1006693,1245836,1479438,1345648,1420543,1557286,1729852
44,44,Indiana,LIB,21690,142180,14358,10215,468076,241314,51486,19553,31367,51104,144546,60851
45,45,Iowa,DEM,619931,508672,605620,670557,586353,620258,638517,741898,828940,822544,653669,758881
46,46,Iowa,REP,632864,676026,703088,545355,504891,492644,634373,751957,682379,730617,800983,897467
47,47,Iowa,LIB,26508,132963,11097,9702,263363,121173,80132,13053,25804,29019,110928,31962
48,48,Kansas,DEM,430421,326150,333149,422636,390434,387659,399276,434993,514765,440726,427005,551144
49,49,Kansas,REP,502752,566812,677296,554049,449951,583245,622332,736456,699655,692634,671018,752903
50,50,Kansas,LIB,24672,86833,11546,16359,316851,103396,50608,16307,21452,26611,86379,29757
51,51,Kentucky,DEM,615717,617417,539539,580368,665104,636614,638923,712733,751985,679370,628854,772474
52,52,Kentucky,REP,531852,635274,821702,734281,617178,623283,872520,1069439,1048462,1087190,1202971,1326646
53,53,Kentucky,LIB,19573,42936,8104,7868,210618,128811,32663,13710,26173,30652,92324,37648
54,54,Louisiana,DEM,661365,708453,651586,717460,815971,927837,792344,820299,782989,809141,780154,856034
55,55,Louisiana,REP,587446,792853,1037299,883702,733386,712586,927871,1102169,1148275,1152262,1178638,1255776
56,56,Louisiana,LIB,28572,47285,17937,27040,240660,143536,45441,20638,29497,32662,70240,36252
57,57,Maine,DEM,232279,220974,214515,243569,263420,312788,319951,396842,421923,401306,357735,431277
58,58,Maine,REP,236320,238522,336500,307131,206504,186378,286616,330201,295273,292276,335593,360446
59,59,Maine,LIB,14369,63515,2129,4335,209575,106731,45250,13709,13967,31176,78564,24705
60,60,Maryland,DEM,759612,726161,787935,826304,988571,966207,1144008,1334500,1629467,1677844,1678006,1985023
61,61,Maryland,REP,672661,680606,879918,876167,707094,681530,813827,1024703,959862,971869,943428,976414
62,62,Maryland,LIB,0,133729,8020,11887,288915,133133,67377,25035,42267,57614,160012,55171
63,63,Massachusetts,DEM,1429475,1053802,1239606,1401415,1318639,1571509,1616487,1803800,1904097,1921290,1995196,2382202
64,64,Massachusetts,REP,1030276,1057631,1310936,1194635,805039,718058,878502,1071109,1108854,1188314,1090893,1167202
65,65,Massachusetts,LIB,87807,412657,8841,36751,649986,266892,238975,52546,90044,74592,292732,82069
66,66,Michigan,DEM,1696714,1661532,1529638,1675783,1871182,1989653,2170418,2479183,2872579,2564569,2268839,2804040
