"state","year","s_or_o","expenditure_amount"
"AK",2004,"O",11712165.44
"AK",2004,"S",3105227.52
"AK",2008,"O",8120558.46000001
"AK",2008,"S",5083725.36
"AK",2010,"S",27122246.0099999
"AK",2010,"O",4724844.47999999
"AK",2014,"O",158898402
"AK",2014,"S",43695908.95001
"AK",2016,"S",1196919.64
"AK",2016,"O",49316.75
"AL",2008,"S",3677405.1
"AL",2008,"O",6825739.53
"AL",2010,"S",673853.49
"AL",2010,"O",8893993.50000001
"AL",2014,"O",866478.14
"AL",2014,"S",458263.26
"AL",2016,"O",356638.08
"AL",2016,"S",2936863.83
"AR",2004,"S",169044.8
"AR",2010,"O",43980998.939994
"AR",2010,"S",30733600.2599966
"AR",2010,NULL,3624
"AR",2014,"O",128275783.35
"AR",2014,"S",31646849.9499999
"AR",2016,"S",1703079.64
"AR",2016,"O",2694388.76
"AZ",2004,"O",5406608.97
"AZ",2004,"S",5047507.56
"AZ",2006,"S",7347398.72
"AZ",2006,"O",22809509.8
"AZ",2010,"O",68731873.56
"AZ",2010,"S",15531648.0300001
"AZ",2012,"S",34418933.2000001
"AZ",2012,"O",185418076.25
"AZ",2016,"S",49314266.43
"AZ",2016,"O",80733700.8499998
"CA",2004,"S",7960078.14000001
"CA",2004,"O",8250692.52000001
"CA",2006,"O",62628155.66
"CA",2006,"S",12106472.28
"CA",2010,NULL,10000
"CA",2010,"O",87353084.1000004
"CA",2010,"S",35192093.2999996
"CA",2012,"S",44341669.9199999
"CA",2012,"O",86472420.8200004
"CA",2016,"S",25740863.02
"CA",2016,"O",32498597.2
"CO",2004,"O",36097906.1799999
"CO",2004,"S",28106956.85
"CO",2008,"S",28002675.1200001
"CO",2008,"O",36742369.3000007
"CO",2010,"S",66526727.2999919
"CO",2010,"O",294507413
"CO",2010,NULL,18172.4
"CO",2014,"O",391650539.599997
"CO",2014,"S",101579509.040001
"CO",2016,"S",28568806.0699999
"CO",2016,"O",82792196.2
"CT",2004,"O",7746580.08
"CT",2004,"S",4661868.95999999
"CT",2006,"S",10306528.38
"CT",2006,"O",74863737.7199999
"CT",2010,"O",33629050.91
"CT",2010,"S",1791750.74
"CT",2012,"S",59851716.9
"CT",2012,"O",175304286.799999
"CT",2016,"S",1113633.78
"CT",2016,"O",428781.78
"DE",2008,"S",5300
"DE",2010,"S",2740801.2
"DE",2010,"O",5684059.92
"DE",2012,"S",595950.72
"DE",2012,"O",70571.24
"DE",2014,"S",201010.95
"FL",2004,"S",12592264.58
"FL",2004,"O",25335287.88
"FL",2006,"S",13141244.4
"FL",2006,"O",56679798.4800001
"FL",2010,"S",62806355.8399995
"FL",2010,"O",153095269.36
"FL",2010,NULL,324220.09
"FL",2012,"O",410643029.969996
"FL",2012,"S",309177812.069997
"FL",2016,"S",179923239.479975
"FL",2016,NULL,37404
"FL",2016,"O",708107705.160054
"GA",2004,"S",11315428.45
"GA",2004,"O",4915472.45
"GA",2008,"S",9983004.35999999
"GA",2008,"O",7795191.38999999
"GA",2010,"S",4493793.47999999
"GA",2010,"O",15524836.62
"GA",2014,"O",162896077.56
"GA",2014,"S",45923854.26
"GA",2016,"O",2216078.92
"GA",2016,"S",9874557.87999997
"HI",2004,"S",193003.6
"HI",2004,"O",43827.2
"HI",2006,"S",2185647.3
"HI",2010,"S",1588135.05
"HI",2010,"O",9130053.75
"HI",2012,"O",4874340.67999999
"HI",2012,"S",10200072.44
"HI",2014,"S",5791615.30000001
"HI",2014,"O",2108931.85
"HI",2016,"S",331542.89
"HI",2016,"O",33728.45
"IA",2004,"S",3247732.38
"IA",2004,"O",326671.02
"IA",2008,"S",172546.86
"IA",2010,NULL,64800
"IA",2010,"S",1292825.88
"IA",2010,"O",11914261.4
"IA",2014,"S",107616972.259997
"IA",2014,"O",311564527.750015
"IA",2016,"O",73450576.0799999
"IA",2016,"S",100957779.06
"ID",2004,"S",3240
"ID",2008,"O",3808399.14
"ID",2008,"S",1997009.88000001
"ID",2010,"S",667476.84
"ID",2010,"O",386267.12
"ID",2014,"O",1516425.34
"ID",2014,"S",2344361.66
"ID",2016,"S",137028.39
"ID",2016,"O",15625.62
"IL",2004,"S",5313544.1
"IL",2004,"O",5857762.4
"IL",2008,"O",27325758
"IL",2008,"S",16525725.2400001
"IL",2010,"S",37255798.97
"IL",2010,"O",331217072.68
"IL",2010,NULL,778818.17
"IL",2014,"O",94780419.5999999
"IL",2014,NULL,90750
"IL",2014,"S",35366704.26
"IL",2016,"S",45134662.3000051
"IL",2016,"O",99037448.1999967
"IN",2004,"O",8317143.23999999
"IN",2004,"S",1819950.33
"IN",2006,"S",5297219.76
"IN",2006,"O",46881032.28
"IN",2010,"O",29248612.6
"IN",2010,"S",5263532.59999999
"IN",2012,"S",24943743
"IN",2012,"O",151660208.8
"IN",2016,"S",27614049.52
"IN",2016,"O",144024573.4
"KS",2004,"O",4362570.84
"KS",2004,"S",2132792.68
"KS",2008,"S",1843598.48
"KS",2008,"O",2361496.56
"KS",2010,"O",715661.840000001
"KS",2010,"S",238476.4
"KS",2014,"S",8693678.79
"KS",2014,NULL,11250
"KS",2014,"O",43652644.1999999
"KS",2016,"S",2948404.08
"KS",2016,"O",11540900.76
"KY",2004,"O",4721100.32
"KY",2004,"S",10464336.78
"KY",2008,"S",2267428.40000001
"KY",2008,NULL,1260
"KY",2008,"O",2134610.5
"KY",2010,"S",1277645.73
"KY",2010,"O",25882618.92
"KY",2014,"S",24532359.9499932
"KY",2014,"O",147889802.269987
"KY",2016,"O",4923116.48
"KY",2016,"S",2438246.44
"LA",2004,"O",43738431.0999998
"LA",2004,"S",12542354.51
"LA",2008,"O",25055553.55
"LA",2008,"S",9022324.35000001
"LA",2008,NULL,1564135
"LA",2010,"S",6440839.55999999
"LA",2010,"O",1242259.32
"LA",2014,"S",25709786.9599999
"LA",2014,"O",177572460.559996
"LA",2016,"O",13213013.52
"LA",2016,"S",29330625.3599999
"MA",2006,"S",9028.72
"MA",2008,"S",150008.75
"MA",2012,"O",44684753.8799982
"MA",2012,"S",8378115.24
"MA",2014,"O",2997925.05
"MA",2014,"S",14639580.8
"MD",2004,"S",40426.26
"MD",2006,"O",6886269.05
"MD",2006,"S",2899010.4
"MD",2010,"S",4848237.47999999
"MD",2010,"O",36741524.52
"MD",2012,"O",13358031.03
"MD",2012,"S",2676048.38999999
"MD",2016,"S",95250905.6000001
"MD",2016,"O",1746655.4
"ME",2008,"S",1303951.35
"ME",2008,"O",1287729
"ME",2012,"O",39446637.02
"ME",2012,"S",12670896.7
"ME",2014,"S",7251839.8
"ME",2014,"O",8122030.52
"MI",2006,"S",7816105.20000004
"MI",2006,"O",8046967.38
"MI",2008,"S",18228179.82
"MI",2008,"O",81220544.5800003
"MI",2012,"O",116876534.3
"MI",2012,"S",61426579.0999993
"MI",2014,"O",128553696.6
"MI",2014,"S",50234303.4199955
"MI",2014,NULL,35007.56
"MN",2006,"S",8773344.24
"MN",2006,"O",29131608.96
"MN",2008,"S",27418647.7599999
"MN",2008,"O",31611114.2399999
"MN",2012,"S",7231501.1399998
"MN",2012,"O",63195738.4800001
"MN",2014,"S",11104469.75
"MN",2014,"O",92365686.0000001
"MO",2004,"S",1392983.08
"MO",2004,"O",652991.2
"MO",2006,"O",47201700.85
"MO",2006,"S",11910111.25
"MO",2010,"S",23046262.1000001
"MO",2010,"O",112644918.4
"MO",2010,NULL,8400
"MO",2012,"S",34827850.2599922
"MO",2012,"O",90628930.2599901
"MO",2016,"O",289454108.999941
"MO",2016,"S",30615782.6999957
"MO",2016,NULL,2700
"MS",2006,"S",120120
"MS",2008,"O",9587441.15999998
"MS",2008,"S",5146889.04
"MS",2012,"S",4718381.96
"MS",2012,"O",5075343.36
"MS",2014,"S",12059914.44
"MS",2014,"O",18006371.7
"MT",2006,"S",1998398.43
"MT",2006,"O",2360901.99
"MT",2008,"S",344454.48
"MT",2008,"O",2000
"MT",2012,"S",6368923.28999998
"MT",2012,"O",76223363.5499997
"MT",2014,"O",1727964
"MT",2014,"S",1775469.75
"NC",2004,"O",10141410.16
"NC",2004,"S",10377329.36
"NC",2008,"O",10496417.3999998
"NC",2008,"S",9217778.72
"NC",2010,"S",2923286.36
"NC",2010,"O",21158107.72
"NC",2014,"O",295766233.140137
"NC",2014,"S",128888564.419995
"NC",2016,"S",16243476.5400047
"NC",2016,"O",132177163.709951
"ND",2004,"S",229320
"ND",2010,"O",7175225.97
"ND",2010,"S",197335.17
"ND",2012,"S",9154315.71
"ND",2012,"O",53887261.9499999
"ND",2016,"S",196.25
"ND",2016,"O",11993.35
"NE",2006,"S",765970.4
"NE",2006,"O",533333.32
"NE",2008,"S",2012170.48000001
"NE",2008,"O",3745159.16
"NE",2012,"O",10191843.74
"NE",2012,"S",6419758.52
"NE",2014,"S",9992424.39999999
"NE",2014,"O",16997536.3
"NH",2004,"S",1369970.8
"NH",2008,"O",19327195.96
"NH",2008,"S",12161107.3999999
"NH",2010,"S",11450013.8
"NH",2010,NULL,1927.04
"NH",2010,"O",23790623.76
"NH",2014,"S",28369774.11
"NH",2014,"O",91349493.5099999
"NH",2016,"O",326943256.499999
"NH",2016,"S",138370645.1
"NJ",2006,"S",1657316.97
"NJ",2006,"O",38161711.8
"NJ",2008,"S",16273525.17
"NJ",2008,"O",25982389.7899999
"NJ",2012,"S",28070687.92
"NJ",2012,"O",7600435.36999999
"NJ",2014,NULL,12074.79
"NJ",2014,"O",23782042.41
"NJ",2014,"S",2030753.69
"NM",2006,"S",5125394.43
"NM",2006,"O",13725346.2
"NM",2008,"O",8223013.50000002
"NM",2008,"S",6903528.47999998
"NM",2012,"S",6732819.8000001
"NM",2012,"O",19074712.6399998
"NM",2014,"O",339400
"NM",2014,"S",4805.52
"NV",2004,"O",3671968.98
"NV",2004,"S",3696303.36
"NV",2006,"S",4633127.25
"NV",2006,"O",11925444.1
"NV",2010,"S",42782488.5599797
"NV",2010,"O",150221914.560001
"NV",2012,"S",17783850.3999997
"NV",2012,"O",194619515.800001
"NV",2016,"O",555728752.599995
"NV",2016,"S",148151930.500001
"NV",2016,NULL,446341.56
"NY",2004,"O",15742359.4
"NY",2004,"S",12627572.6000001
"NY",2006,"O",79109024.5999997
"NY",2006,"S",12891403.7
"NY",2010,NULL,4801605
"NY",2010,"O",133632069.9
"NY",2010,"S",21552302.9999998
"NY",2012,"O",249470741.07
"NY",2012,"S",75394996.1099998
"NY",2016,"S",45837260.1599998
"NY",2016,"O",219704358
"OH",2004,"O",40225.02
"OH",2004,"S",29913
"OH",2006,"O",63316397.49
"OH",2006,"S",8462726.04
"OH",2010,"O",76652698.4400001
"OH",2010,"S",38876717.9399966
"OH",2012,"S",36987397.4399943
"OH",2012,"O",160162819.380112
"OH",2016,NULL,54137.7
"OH",2016,"S",55778057.7600526
"OH",2016,"O",217325660.219823
"OK",2004,"S",4059407.01
"OK",2004,"O",4772224.86
"OK",2008,"O",120954
"OK",2008,"S",355797
"OK",2010,"S",1434533.88
"OK",2014,"S",14371672.48
"OK",2014,"O",4502460
"OK",2016,"S",2219528.05
"OK",2016,"O",3249260
"OR",2004,"S",238372.98
"OR",2004,"O",6000
"OR",2008,"S",7755296.15999999
"OR",2008,NULL,17980
"OR",2008,"O",3922203.35999999
"OR",2010,"O",13618290.84
"OR",2010,"S",3902068.92
"OR",2014,"O",12434480.22
"OR",2014,"S",8458068.60000002
"OR",2016,"S",5448907.58999999
"OR",2016,"O",1789292.96
"PA",2004,"O",14027549.65
"PA",2004,"S",35276468.75
"PA",2006,"S",6590510.57999999
"PA",2006,"O",65524263.6299998
"PA",2010,NULL,15508
"PA",2010,"S",13853260.0600002
"PA",2010,"O",74719955.0000008
"PA",2012,"O",42205048.0199999
"PA",2012,"S",20940449.3399992
"PA",2016,"S",75981922.7400415
"PA",2016,"O",259089645.029982
"PA",2016,NULL,879
"RI",2006,"O",4298121.92
"RI",2006,"S",359111.72
"RI",2008,"S",51000
"RI",2012,"S",196584.87
"RI",2012,"O",3044694.96
"SC",2004,"O",12983840
"SC",2004,"S",8256848.80000001
"SC",2008,"S",163318.23
"SC",2008,"O",115336.98
"SC",2010,NULL,50379.24
"SC",2010,"S",1975539.92
"SC",2010,"O",13451411
"SC",2014,"O",9990
"SC",2014,"S",4585146
"SC",2016,"S",108495342.56
"SC",2016,"O",63561526.8
"SD",2004,"S",10991950.7
"SD",2004,"O",11318770.68
"SD",2008,"S",326295.06
"SD",2010,"O",1532961.12
"SD",2010,"S",196632.59
"SD",2010,NULL,4515
"SD",2014,"O",15058140.44
"SD",2014,NULL,10144.88
"SD",2014,"S",8340865.07999999
"SD",2016,"S",91.48
"SD",2016,"O",29424.48
"TN",2006,"O",52318983.09
"TN",2006,"S",22709166.92
"TN",2008,"S",494147.28
"TN",2012,"O",46192427.4099999
"TN",2012,"S",38711017.0500003
"TN",2014,"O",4134508.95
"TN",2014,"S",22460311.12
"TX",2006,"S",5134644
"TX",2006,"O",5463501.96
"TX",2008,"S",15613174.89
"TX",2008,"O",6034315.17000001
"TX",2012,"S",21698036.68
"TX",2012,"O",78667946.2800002
"TX",2014,"O",26213495.35
"TX",2014,"S",6058788.15
"UT",2004,"O",3418287.7
"UT",2004,"S",4899152.7
"UT",2006,"O",296880
"UT",2010,"O",695728.71
"UT",2010,"S",987324.27
"UT",2010,NULL,18000
"UT",2012,"O",41505531.8999999
"UT",2012,"S",9182202.54
"UT",2016,"O",1477439.4
"UT",2016,"S",3269860.51999999
"VA",2006,"S",2397325.75999999
"VA",2006,"O",28534705.48
"VA",2008,"S",13197082.8500001
"VA",2008,"O",13851862.2499998
"VA",2012,"O",155555737.380027
"VA",2012,"S",15070071.4199995
"VA",2014,"S",10121682.68
"VA",2014,"O",17495919
"VT",2004,"S",458479.35
"VT",2006,"S",7948420.34000001
"VT",2006,"O",62402.9
"VT",2012,"S",369923.54
"VT",2012,"O",29996.54
"VT",2016,"S",2008873.68
"VT",2016,"O",30043.44
"WA",2004,"S",15114154.52
"WA",2004,"O",15420313.32
"WA",2006,"S",2343404.75
"WA",2006,"O",25771203.25
"WA",2010,"O",39775172
"WA",2010,"S",6129846.86
"WA",2012,"O",3835606.48
"WA",2012,"S",22569287.86
"WA",2016,"S",1569783
"WA",2016,"O",296307.54
"WI",2004,"S",1475395.25
"WI",2006,"O",12303832.5
"WI",2006,"S",1401460.35
"WI",2010,"O",41617450.1999999
"WI",2010,NULL,8541
"WI",2010,"S",11130342.9000001
"WI",2012,"O",345852791.060034
"WI",2012,"S",63143741.9899959
"WI",2016,"O",65556154.3499999
"WI",2016,"S",16935266.6
"WV",2006,"S",138922.82
"WV",2006,"O",12825.54
"WV",2008,"S",4245329.52
"WV",2008,"O",1070848.84
"WV",2010,"S",6250964.28000001
"WV",2010,"O",47341650.6399999
"WV",2012,"O",4769311.62
"WV",2012,"S",754048.65
"WV",2014,"O",88086109.1399998
"WV",2014,"S",6451093.52999999
"WY",2006,"O",1245996.5
"WY",2006,"S",249649.5
"WY",2008,"O",6107923.19999999
"WY",2008,"S",4220351.03999999
"WY",2012,"O",22259.04
"WY",2012,"S",370818.96
